"row_names","CompanyID","Column_Rating","Company_Name","Location","HQ_Address","Size","Founded","type_of_ownership","Industry","Sector","Revenue","Competitors","company_txt","Company_Age"
"254",396,3.3,"Samba TV
3.3","San Francisco, CA","San Francisco, CA","201 - 500 ",2008,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","Samba TV",13
"255",397,3.4,"SV Microwave
3.4","West Palm Beach, FL","West Palm Beach, FL","201 - 500 ",1991,"Company - Public","Telecommunications Manufacturing","Telecommunications","$50 to $100 million (USD)","-1","SV Microwave",30
"256",399,4.4,"SpringML
4.4","Herndon, VA","Pleasanton, CA","1 - 50 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","SpringML",6
"257",400,3.8,"Sumo Logic
3.8","Austin, TX","Redwood City, CA","501 - 1000 ",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Splunk, Datadog, Elastic","Sumo Logic",11
"258",401,3.5,"EAB
3.5","Washington, DC","Washington, DC","1001 - 5000 ",2007,"Company - Private","Research & Development","Business Services","Unknown / Non-Applicable","-1","EAB",14
"259",403,3.5,"Brighthouse Financial
3.5","Charlotte, NC","Charlotte, NC","1001 - 5000 ",2017,"Company - Public","Insurance Carriers","Insurance","Unknown / Non-Applicable","-1","Brighthouse Financial",4
"260",406,2.9,"Affinity Solutions
2.9","San Jose, CA","New York, NY","51 - 200 ",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee","Affinity Solutions",23
"261",407,3.9,"Citadel Federal Credit Union
3.9","Exton, PA","Exton, PA","501 - 1000 ",1937,"Nonprofit Organization","Banks & Credit Unions","Finance","Unknown / Non-Applicable","TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union","Citadel Federal Credit Union",84
"262",410,3.7,"CALIBRE Systems
3.7","Alexandria, VA","Alexandria, VA","501 - 1000 ",1989,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","CSC, Booz Allen Hamilton, ManTech","CALIBRE Systems",32
"263",411,3.6,"MassMutual
3.6","Boston, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"264",415,3.7,"Motorola Solutions
3.7","Chicago, IL","Chicago, IL","10000+ ",1928,"Company - Public","Computer Hardware & Software","Information Technology","$5 to $10 billion (USD)","Cisco Systems, Huawei Technologies, IBM","Motorola Solutions",93
"265",417,3.1,"Reynolds American
3.1","Owensboro, KY","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"266",419,3.6,"MassMutual
3.6","Springfield, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"267",420,3,"Infosys
3.0","Hartford, CT","Bengaluru, India","10000+ ",1981,"Company - Public","IT Services","Information Technology","$10+ billion (USD)","Tata Consultancy Services, Accenture, Cognizant Technology Solutions","Infosys",40
"268",421,3.5,"Alignment Healthcare
3.5","Orange, CA","Orange, CA","501 - 1000 ",2013,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1","Alignment Healthcare",8
"269",426,3.5,"Sunovion
3.5","Marlborough, MA","Marlborough, MA","1001 - 5000 ",2010,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Shire, GlaxoSmithKline, Allergan","Sunovion",11
"270",428,3.7,"Cboe Global Markets
3.7","Lenexa, KS","Chicago, IL","501 - 1000 ",1973,"Company - Public","Stock Exchanges","Finance","$500 million to $1 billion (USD)","-1","Cboe Global Markets",48
"271",430,3.2,"Guidepoint
3.2","New York, NY","New York, NY","501 - 1000 ",2003,"Company - Private","Research & Development","Business Services","Unknown / Non-Applicable","Coleman Research, AlphaSights, Third Bridge","Guidepoint",18
"272",431,2.1,"Cerus Corporation
2.1","Concord, CA","Concord, CA","201 - 500 ",-1,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$25 to $50 million (USD)","-1","Cerus Corporation",-1
"273",433,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"274",435,4.4,"Maven Wave Partners
4.4","Chicago, IL","Chicago, IL","201 - 500 ",2008,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1","Maven Wave Partners",13
"275",437,3.7,"Vail Health
3.7","Vail, CO","Vail, CO","501 - 1000 ",1966,"Hospital","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)","-1","Vail Health",55
"276",446,3.9,"AstraZeneca
3.9","New York, NY","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Roche, GlaxoSmithKline, Novartis","AstraZeneca",108
"277",447,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO","501 - 1000 ",1915,"Nonprofit Organization","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","-1","Pinnacol Assurance",106
"278",449,4.4,"MathWorks
4.4","Natick, MA","Natick, MA","1001 - 5000 ",1984,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","-1","MathWorks",37
"279",450,3.4,"MetroStar Systems
3.4","Rockville, MD","Reston, VA","201 - 500 ",1999,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1","MetroStar Systems",22
"280",452,3.3,"Liberty Mutual Insurance
3.3","Chicago, IL","Boston, MA","10000+ ",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm","Liberty Mutual Insurance",109
"281",454,2.9,"Audentes Therapeutics
2.9","South San Francisco, CA","San Francisco, CA","201 - 500 ",2012,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","BioMarin Pharmaceutical, Sangamo Therapeutics, bluebird bio","Audentes Therapeutics",9
"282",458,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"283",459,3.3,"National Interstate
3.3","Richfield, OH","Richfield, OH","501 - 1000 ",1989,"Company - Private","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","-1","National Interstate",32
"284",461,4.5,"Moser Consulting
4.5","Indianapolis, IN","Indianapolis, IN","51 - 200 ",1996,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","-1","Moser Consulting",25
"285",462,3.9,"TransUnion
3.9","Chicago, IL","Chicago, IL","5001 - 10000 ",1968,"Company - Public","Financial Analytics & Research","Finance","$1 to $2 billion (USD)","-1","TransUnion",53
"286",463,3.2,"MITRE
3.2","Hampton, VA","Bedford, MA","5001 - 10000 ",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Battelle, General Atomics, SAIC","MITRE",63
"287",464,3.3,"Mcphail Associates
3.3","Cambridge, MA","Cambridge, MA","1 - 50 ",1976,"Company - Private","Construction","Construction, Repair & Maintenance","Unknown / Non-Applicable","-1","Mcphail Associates",45
"288",466,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"289",467,2.4,"Crown Bioscience
2.4","San Diego, CA","San Diego, CA","501 - 1000 ",2006,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$50 to $100 million (USD)","-1","Crown Bioscience",15
"290",468,4.8,"HOVER
4.8","San Francisco, CA","San Francisco, CA","51 - 200 ",2011,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1","HOVER",10
"291",469,2.9,"Q2 Solutions
2.9","Ithaca, NY","Morrisville, NC","1001 - 5000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","-1","Q2 Solutions",6
"292",470,2.9,"Q2 Solutions
2.9","Marietta, GA","Morrisville, NC","1001 - 5000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","-1","Q2 Solutions",6
"293",471,3.4,"Arbella Insurance
3.4","Quincy, MA","Quincy, MA","1001 - 5000 ",1988,"Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)","-1","Arbella Insurance",33
"294",472,-1,"Kronos Bio","Cambridge, MA","San Mateo, CA","unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1","Kronos Bi",-1
"295",473,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000 ",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1","Software Engineering Institute",37
"296",479,3.6,"MassMutual
3.6","Boston, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"297",482,4,"Pfizer
4.0","New York, NY","New York, NY","10000+ ",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Pfizer",172
"298",483,3.8,"Associated Banc-Corp
3.8","Green Bay, WI","Green Bay, WI","1001 - 5000 ",1870,"Company - Public","Banks & Credit Unions","Finance","$1 to $2 billion (USD)","Wells Fargo, BMO Harris Bank, U.S. Bank","Associated Banc-Corp",151
"299",485,3.9,"Zest AI
3.9","Burbank, CA","Burbank, CA","51 - 200 ",2009,"Company - Private","Financial Analytics & Research","Finance","$50 to $100 million (USD)","-1","Zest AI",12
"300",486,3.8,"Fareportal
3.8","New York, NY","New York, NY","1001 - 5000 ",2002,"Company - Private","Travel Agencies","Travel & Tourism","$2 to $5 billion (USD)","Expedia Group, Orbitz Worldwide, Priceline.com","Fareportal",19
"301",487,4.3,"Genesys
4.3","Durham, NC","Daly City, CA","5001 - 10000 ",1990,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Avaya, Five9, Salesforce","Genesys",31
"302",488,1.9,"Moda Operandi
1.9","New York, NY","New York, NY","201 - 500 ",2010,"Company - Private","Department, Clothing, & Shoe Stores","Retail","$100 to $500 million (USD)","YOOX NET-A-PORTER GROUP, Farfetch, MATCHESFASHION","Moda Operandi",11
"303",489,3.3,"Liberty Mutual Insurance
3.3","Indianapolis, IN","Boston, MA","10000+ ",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm","Liberty Mutual Insurance",109
"304",490,4.7,"QK
4.7","Clovis, CA","Visalia, CA","51 - 200 ",1972,"Company - Private","Architectural & Engineering Services","Business Services","$10 to $25 million (USD)","-1","QK",49
"305",491,3.1,"Santander
3.1","Boston, MA","Madrid, Spain","10000+ ",1856,"Company - Private","Banks & Credit Unions","Finance","$10+ billion (USD)","-1","Santander",165
"306",492,3.4,"Tivity Health
3.4","Chandler, AZ","Franklin, TN","501 - 1000 ",1981,"Company - Public","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1","Tivity Health",40
"307",493,4.4,"BRMi
4.4","Chantilly, VA","Washington, DC","51 - 200 ",2004,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","BRMi",17
"308",494,3.9,"Luminar Technologies
3.9","Orlando, FL","Orlando, FL","201 - 500 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","Luminar Technologies",9
"309",495,3.9,"Emtec, Inc.
3.9","Chicago, IL","Jacksonville, FL","501 - 1000 ",1995,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","-1","Emtec, Inc.",26
"310",496,4.7,"Veterans United Home Loans
4.7","Columbia, MO","Columbia, MO","1001 - 5000 ",2002,"Company - Private","Lending","Finance","Unknown / Non-Applicable","-1","Veterans United Home Loans",19
"311",497,4.7,"Praetorian
4.7","Austin, TX","Austin, TX","51 - 200 ",2010,"Company - Private","Security Services","Business Services","$10 to $25 million (USD)","-1","Praetorian",11
"312",498,3.4,"PA Consulting
3.4","Boston, MA","London, United Kingdom","1001 - 5000 ",1943,"Company - Private","Consulting","Business Services","$100 to $500 million (USD)","McKinsey & Company, Accenture, Deloitte","PA Consulting",78
"313",499,3.8,"Agios Pharmaceuticals
3.8","Cambridge, MA","Cambridge, MA","501 - 1000 ",2008,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$50 to $100 million (USD)","-1","Agios Pharmaceuticals",13
"314",500,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD","201 - 500 ",1961,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$25 to $50 million (USD)","-1","Advanced BioScience Laboratories",60
"315",501,3.1,"Reynolds American
3.1","Owensboro, KY","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"316",505,4,"Glassdoor
4.0","San Francisco, CA","Mill Valley, CA","1001 - 5000 ",2007,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Indeed, LinkedIn","Glassdoor",14
"317",506,3.5,"Esri
3.5","Redlands, CA","Redlands, CA","1001 - 5000 ",1969,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Pitney Bowes","Esri",52
"318",507,3.4,"Assurant
3.4","Westlake, OH","New York, NY","10000+ ",1978,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","Asurion, SquareTrade, National General Insurance","Assurant",43
"319",510,3.7,"F&G
3.7","Des Moines, IA","Des Moines, IA","201 - 500 ",-1,"Subsidiary or Business Segment","Insurance Carriers","Insurance","$100 to $500 million (USD)","-1","F&G",-1
"320",512,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"321",516,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA","501 - 1000 ",1992,"Company - Private","Lending","Finance","$100 to $500 million (USD)","-1","GreatAmerica Financial Services",29
"322",517,4.4,"Acceleron Pharma
4.4","Cambridge, MA","Cambridge, MA","201 - 500 ",2003,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","-1","Acceleron Pharma",18
"323",518,-1,"Kronos Bio","Cambridge, MA","San Mateo, CA","unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1","Kronos Bi",-1
"324",519,3,"AmeriHealth Caritas
3.0","Philadelphia, PA","Philadelphia, PA","5001 - 10000 ",1983,"Company - Private","Insurance Carriers","Insurance","$5 to $10 billion (USD)","UnitedHealth Group, Molina Healthcare, Centene","AmeriHealth Caritas",38
"325",520,4.7,"Strategic Employment Partners
4.7","San Francisco, CA","Los Angeles, CA","51 - 200 ",2006,"Company - Private","Staffing & Outsourcing","Business Services","$1 to $5 million (USD)","-1","Strategic Employment Partners",15
"326",521,3.8,"PNNL
3.8","Seattle, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"327",522,3.2,"Catholic Health Initiatives
3.2","Omaha, NE","Englewood, CO","10000+ ",1996,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$10+ billion (USD)","Dignity Health, Trinity Health","Catholic Health Initiatives",25
"328",523,2.7,"FLEETCOR
2.7","Nashville, TN","Peachtree Corners, GA","5001 - 10000 ",2000,"Company - Public","Financial Transaction Processing","Finance","$2 to $5 billion (USD)","-1","FLEETCOR",21
"329",524,3.3,"Liberty Mutual Insurance
3.3","Chicago, IL","Boston, MA","10000+ ",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm","Liberty Mutual Insurance",109
"330",525,3.9,"Southwest Research Institute
3.9","San Antonio, TX","San Antonio, TX","1001 - 5000 ",1947,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)","Los Alamos National Laboratory, Battelle, SRI International","Southwest Research Institute",74
"331",526,3.7,"Applied Research Laboratories
3.7","Austin, TX","Austin, TX","501 - 1000 ",-1,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1","Applied Research Laboratories",-1
"332",528,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"333",530,3.7,"Raytheon
3.7","Huntsville, AL","Waltham, MA","10000+ ",1922,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","-1","Raytheon",99
"334",532,4.3,"RTI International
4.3","Durham, NC","Research Triangle Park, NC","1001 - 5000 ",1958,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)","Westat, Abt Associates, Chemonics International","RTI International",63
"335",533,3.6,"TRANZACT
3.6","Fort Lee, NJ","Fort Lee, NJ","1001 - 5000 ",1989,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","TRANZACT",32
"336",534,2.1,"United BioSource
2.1","Blue Bell, PA","Blue Bell, PA","1001 - 5000 ",2003,"Other Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Covance, ICON","United BioSource",18
"337",535,3.9,"Figure Eight
3.9","San Francisco, CA","San Francisco, CA","51 - 200 ",2008,"Company - Public","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","-1","Figure Eight",13
"338",537,3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA","201 - 500 ",2007,"Company - Private","Internet","Information Technology","$10 to $25 million (USD)","FLURRY, Chartboost","Tapjoy",14
"339",538,3.8,"Fareportal
3.8","New York, NY","New York, NY","1001 - 5000 ",2002,"Company - Private","Travel Agencies","Travel & Tourism","$2 to $5 billion (USD)","Expedia Group, Orbitz Worldwide, Priceline.com","Fareportal",19
"340",539,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC","5001 - 10000 ",1875,"Company - Private","Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)","-1","Reynolds American",146
"341",542,5,"Royce Geospatial
5.0","Springfield, VA","Arlington, VA","51 - 200 ",2014,"Company - Private","Aerospace & Defense","Aerospace & Defense","$10 to $25 million (USD)","-1","Royce Geospatial",7
"342",546,3.6,"Citi
3.6","Jersey City, NJ","New York, NY","10000+ ",1812,"Company - Public","Investment Banking & Asset Management","Finance","$10+ billion (USD)","-1","Citi",209
"343",548,4.7,"Sage Intacct
4.7","San Francisco, CA","San Jose, CA","501 - 1000 ",1999,"Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","Sage Intacct",22
"344",549,3.5,"Scale AI
3.5","San Francisco, CA","San Francisco, CA","51 - 200 ",2016,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Scale AI",5
"345",554,2.7,"Change Healthcare
2.7","Emeryville, CA","Nashville, TN","10000+ ",2007,"Company - Public","IT Services","Information Technology","Unknown / Non-Applicable","-1","Change Healthcare",14
"346",555,3.4,"MZ
3.4","Palo Alto, CA","Palo Alto, CA","501 - 1000 ",2008,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1","MZ",13
"347",556,4.7,"HG Insights
4.7","Santa Barbara, CA","Santa Barbara, CA","51 - 200 ",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","HG Insights",11
"348",557,2.8,"1-800-FLOWERS.COM, Inc.
2.8","Carle Place, NY","Carle Place, NY","1001 - 5000 ",1976,"Company - Public","Wholesale","Business Services","$1 to $2 billion (USD)","-1","1-800-FLOWERS.COM, Inc.",45
"349",558,3.5,"CBS Interactive
3.5","New York, NY","San Francisco, CA","1001 - 5000 ",1992,"Subsidiary or Business Segment","TV Broadcast & Cable Networks","Media","$500 million to $1 billion (USD)","NBCUniversal, Comcast, Netflix","CBS Interactive",29
"350",560,3.2,"Numeric, LLC
3.2","King of Prussia, PA","Chadds Ford, PA","1 - 50 ",-1,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)","-1","Numeric, LLC",-1
"351",570,3.7,"Samsung Research America
3.7","Mountain View, CA","Mountain View, CA","1001 - 5000 ",1988,"Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","Sony, LG Electronics, Nokia","Samsung Research America",33
"352",575,4,"Lorven Technologies Inc
4.0","Santa Clara, CA","Plainsboro, NJ","1 - 50 ",-1,"Company - Private","Accounting","Accounting & Legal","Less than $1 million (USD)","-1","Lorven Technologies Inc",-1
"353",577,2.5,"CareDx
2.5","Brisbane, CA","Brisbane, CA","1 - 50 ",-1,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Sequenom","CareDx",-1
"354",578,3.9,"Serigor Inc.
3.9","San Francisco, CA","Baltimore, MD","1 - 50 ",-1,"Company - Private","IT Services","Information Technology","Less than $1 million (USD)","-1","Serigor Inc.",-1
"355",579,3.4,"Leidos
3.4","Springfield, VA","Reston, VA","10000+ ",1969,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","-1","Leidos",52
"356",580,3.6,"Beckman Coulter Diagnostics
3.6","New York, NY","Brea, CA","10000+ ",1935,"Subsidiary or Business Segment","Health Care Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","Abbott Laboratories, Roche, Thermo Fisher Scientific","Beckman Coulter Diagnostics",86
"357",582,3.5,"IHS Markit
3.5","New York, NY","London, United Kingdom","10000+ ",2016,"Company - Public","Consulting","Business Services","$2 to $5 billion (USD)","Thomson Reuters, International Data Group","IHS Markit",5
"358",583,-1,"ALIN","New York, NY","Noida, India","unknown",-1,"Company - Private","-1","-1","Unknown / Non-Applicable","-1","ALI",-1
"359",586,3.5,"e-IT Professionals Corp.
3.5","Foster City, CA","Canton, MI","51 - 200 ",-1,"Company - Private","Health, Beauty, & Fitness","Consumer Services","$5 to $10 million (USD)","-1","e-IT Professionals Corp.",-1
"360",587,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ","1 - 50 ",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","TechProjects",10
"361",588,4,"Biz2Credit Inc
4.0","New York, NY","New York, NY","201 - 500 ",2007,"Company - Private","Lending","Finance","$100 to $500 million (USD)","Fundera, Bond Street, OnDeck","Biz2Credit Inc",14
"362",589,4.2,"PeoplesBank
4.2","Holyoke, MA","Holyoke, MA","201 - 500 ",1885,"Company - Private","Banks & Credit Unions","Finance","$50 to $100 million (USD)","-1","PeoplesBank",136
"363",590,3.8,"Capgemini
3.8","New York, NY","Paris, France","10000+ ",1967,"Company - Public","Enterprise Software & Network Solutions","Information Technology","$10+ billion (USD)","Accenture, CGI, Sopra Steria","Capgemini",54
"364",591,3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY","201 - 500 ",1914,"Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)","Travelers, Chubb, Crum & Forster","GNY Insurance Companies",107
"365",595,4.6,"Conch Technologies, Inc
4.6","Waltham, MA","Memphis, TN","51 - 200 ",-1,"Company - Private","Consulting","Business Services","$5 to $10 million (USD)","-1","Conch Technologies, Inc",-1
"366",597,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY","1001 - 5000 ",1999,"Company - Public","Enterprise Software & Network Solutions","Information Technology","$500 million to $1 billion (USD)","Oracle","Medidata Solutions",22
"367",601,4,"HP Inc.
4.0","Corvallis, OR","Palo Alto, CA","10000+ ",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","HP Inc.",82
"368",606,3.9,"Quartet Health
3.9","New York, NY","New York, NY","201 - 500 ",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Quartet Health",7
"369",609,3.1,"Success Academy Charter Schools
3.1","New York, NY","New York, NY","1001 - 5000 ",2006,"School / School District","K-12 Education","Education","$100 to $500 million (USD)","-1","Success Academy Charter Schools",15
"370",616,3.6,"AXION Healthcare Solutions
3.6","New York, NY","New York, NY","1 - 50 ",1980,"Company - Private","Health Care Services & Hospitals","Health Care","$10 to $25 million (USD)","The Execu|Search Group, Prime Staffing","AXION Healthcare Solutions",41
"371",619,4.2,"ExecOnline
4.2","New York, NY","New York, NY","51 - 200 ",2012,"Company - Private","Education Training Services","Education","Unknown / Non-Applicable","Harvard Business School, Coursera, edX","ExecOnline",9
"372",622,4,"Mteq
4.0","Fort Belvoir, VA","Lorton, VA","501 - 1000 ",1954,"Company - Public","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","Harris, Fibertek","Mteq",67
"373",623,3.9,"AstraZeneca
3.9","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Roche, GlaxoSmithKline, Novartis","AstraZeneca",108
"374",624,3.7,"Brillient
3.7","Silver Spring, MD","Reston, VA","201 - 500 ",2006,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1","Brillient",15
"375",625,4.4,"Entefy
4.4","Palo Alto, CA","Palo Alto, CA","1 - 50 ",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1","Entefy",9
"376",631,3.4,"Trace3
3.4","Houston, TX","Irvine, CA","501 - 1000 ",2002,"Company - Private","IT Services","Information Technology","$1 to $2 billion (USD)","World Wide Technology, Presidio, Optiv","Trace3",19
"377",634,3.7,"Northrop Grumman
3.7","San Jose, CA","Falls Church, VA","10000+ ",1939,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","-1","Northrop Grumman",82
"378",635,3.5,"Saama Technologies Inc
3.5","Phoenix, AZ","Campbell, CA","501 - 1000 ",1997,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Accenture, Deloitte, IBM","Saama Technologies Inc",24
"379",636,4.4,"Two Sigma
4.4","New York, NY","New York, NY","1001 - 5000 ",2001,"Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","-1","Two Sigma",20
"380",638,3.9,"AstraZeneca
3.9","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Roche, GlaxoSmithKline, Novartis","AstraZeneca",108
"381",639,3.2,"MITRE
3.2","Bedford, MA","Bedford, MA","5001 - 10000 ",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Battelle, General Atomics, SAIC","MITRE",63
"382",643,4,"Strategic Financial Solutions
4.0","New York, NY","New York, NY","501 - 1000 ",2007,"Company - Private","Consumer Product Rental","Consumer Services","Unknown / Non-Applicable","National Debt Relief, Freedom Financial Network","Strategic Financial Solutions",14
"383",646,3.4,"Remedy BPCI Partners, LLC.
3.4","New York, NY","Norwalk, CT","201 - 500 ",2011,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Healthfirst (New York), naviHealth","Remedy BPCI Partners, LLC.",10
